geonameid;name;asciiname;latitude;longitude;feature code
3046735;Palkonya Vasúti Megállóhely;Palkonya Vasuti Megallohely;45,8833;18,4000;RSTP
3046738;Páli-Vadosfa Vasúti Megállóhely;Pali-Vadosfa Vasuti Megallohely;47,4924;17,1381;RSTP
3046770;Pakod Vasúti Megállóhely;Pakod Vasuti Megallohely;46,9667;17,0000;RSTP
3046794;Pacsmag Vasúti Megállóhely;Pacsmag Vasuti Megallohely;46,6167;18,3833;RSTP
3046830;Ötfa Vasúti Megállóhely;Otfa Vasuti Megallohely;46,5333;19,7333;RSTP
3046854;Öskü Vasúti Megállóhely;Osku Vasuti Megallohely;47,1601;18,0748;RSTP
3046860;Örvényes Vasúti Megállóhely;Orvenyes Vasuti Megallohely;46,9167;17,8167;RSTP
3046868;Ortaháza Vasúti Megállóhely;Ortahaza Vasuti Megallohely;46,6167;16,6833;RSTP
3046917;Őrjeg Vasúti Megállóhely;Orjeg Vasuti Megallohely;46,5167;19,1500;RSTP
3046933;Őrhalom Vasúti Megállóhely;Orhalom Vasuti Megallohely;48,0772;19,3902;RSTP
3047177;Okorág-Kárászpuszta Vasúti Megállóhely;Okorag-Karaszpuszta Vasuti Megallohely;45,9333;17,8667;RSTP
3047204;Ócsai Szőlők Vasúti Megállóhely;Ocsai Szolok Vasuti Megallohely;47,2851;19,2678;RSTP
3047247;Nyírlak Vasúti Megállóhely;Nyirlak Vasuti Megallohely;47,0000;17,2500;RSTP
3047256;Nyíresszőlőtelep Vasúti Megállóhely;Nyiresszolotelep Vasuti Megallohely;47,6756;19,2866;RSTP
3047281;Nyergesújfalu Felső Vasúti Megállóhely;Nyergesujfalu Felso Vasuti Megallohely;47,7667;18,5500;RSTP
3047307;Nyárlőrinci Szőlők Vasúti Megállóhely;Nyarlorinci Szolok Vasuti Megallohely;46,8833;19,8333;RSTP
3047308;Nyárlőrinc Alsó Vasúti Megállóhely;Nyarlorinc Also Vasuti Megallohely;46,8667;19,8833;RSTP
3047339;Normafa Vasúti Megállóhely;Normafa Vasuti Megallohely;47,5005;18,9689;RSTP
3047363;Neszmélyi Téglagyár Vasúti Megállóhely;Neszmelyi Teglagyar Vasuti Megallohely;47,7369;18,3731;RSTP
3047369;Nemti Vasúti Megállóhely;Nemti Vasuti Megallohely;48,0000;19,9167;RSTP
3047403;Nemeskocs Vasúti Megállóhely;Nemeskocs Vasuti Megallohely;47,2032;17,1889;RSTP
3047406;Nemeske Vasúti Megállóhely;Nemeske Vasuti Megallohely;46,0167;17,7167;RSTP
