geo_id;city;name;latitude;longitude
3046518;Pécs-Gyárváros;Pécs-Gyárváros Vasúti Megállóhely;46.0833;18.2833
3045835;Rév;Révfülöp Vasútállomás;46.8333;17.6333
721229;Eger-Felnémet;Eger-Felnémet Vasútállomás;47.95;20.3833
718594;Kónya;Kónya Vasúti Megállóhely;47.6;21.25
719673;Jánosszállás;Jánosszállás Vasúti Megállóhely;46.3167;20.0667
3055626;Bakonysárkány;Bakonysárkány Vasútállomás;47.45;18.1
720684;Füzesbokor;Füzesbokor Vasúti Megállóhely;47.9833;21.6667
717631;Mezőzombor;Mezőzombor Vasútállomás;48.1667;21.25
3047532;Nagyszentjános;Nagyszentjános Vasútállomás;47.7167;17.8833
715122;Szolnok;Szolnok Vasútállomás;47.1833;20.1667
3055567;Balatonföldvár;Balatonföldvár Vasúti Megállóhely;46.85;17.8833
3055573;Balatonfenyves;Balatonfenyves Vasútállomás;46.7167;17.5
722878;Ambrózfalva;Ambrózfalva Vasúti Megállóhely;46.35;20.7333
720856;Felsőzsolca;Felsőzsolca Vasútállomás;48.0833;20.8667
3049547;Kölesd-Alsótengelic;Kölesd-Alsótengelic Vasútállomás;46.5378;18.6723
3053681;Diósjenő;Diósjenő Vasútállomás;47.9333;19.05
3055579;Balatonederics;Balatonederics Vasútállomás;46.7994;17.3866
3053512;Drégelyvár;Drégelyvár Vasúti Megállóhely;48.0026;19.0777
720725;Fülekipuszta;Fülekipuszta Vasúti Megállóhely;47.2833;20.6833
3042543;Zichyújfalu;Zichyújfalu Vasútállomás;47.1333;18.6667
3056411;Adony;Adony Vasútállomás;47.1;18.85
3048698;Ludányhalászi;Ludányhalászi Vasúti Megállóhely;48.1321;19.5285
720325;Gyula-Jánoszug;Gyula-Jánoszug Vasúti Megállóhely;46.65;21.1833
3045529;Sárkeresztúr;Sárkeresztúr Vasúti Megállóhely;47.0167;18.55
3047343;Nógrádszakál;Nógrádszakál Vasútállomás;48.1833;19.5333
717637;Mezőtárkány;Mezőtárkány Vasútállomás;47.7333;20.4833
3042967;Veresegyház;Veresegyház Vasútállomás;47.65;19.2833
716942;Nyírbogdány;Nyírbogdány Vasútállomás;48.0833;21.8667
718935;Kishomok;Kishomok Vasúti Megállóhely;46.4;20.2833
3049877;Kiskunlacháza;Kiskunlacháza Vasútállomás;47.1833;19.05
3044908;Szany-Rábaszentandrás;Szany-Rábaszentandrás Vasútállomás;47.4607;17.3152
3045934;Ravazd;Ravazd Vasúti Megállóhely;47.5296;17.7588
3049707;Kisterenye-Bányatelep;Kisterenye-Bányatelep Vasúti Megállóhely;48.0333;19.8333
8410977;Csap;Csapod Vasútállomás;47.5109;16.9157
3050428;Kecskemét-Parasztfőiskola;Kecskemét-Parasztfőiskola Vasúti Megállóhely;46.9;19.7167
715528;Szalonna;Szalonna Vasútállomás;48.45;20.7167
3045963;Rákospalota-Újpest;Rákospalota-Újpest Vasútállomás;47.5658;19.112
715881;Sarkad;Sarkad Vasútállomás;46.7333;21.3833
720677;Füzesgyarmat;Füzesgyarmat Vasútállomás;47.1;21.2167
3042843;Vinye;Vinye Vasúti Megállóhely;47.3667;17.8167
714773;Tiszaföldvár;Tiszaföldvár Vasútállomás;46.9833;20.2833
3052225;Göd;Göd Vasútállomás;47.7;19.15
721425;Derecske;Derecske Vasútállomás;47.3667;21.5833
3050966;Jánoshalma;Jánoshalma Vasútállomás;46.3;19.3333
722871;Andornaktálya;Andornaktálya Vasúti Megállóhely;47.85;20.4
3053227;Érd;Érd Vasútállomás;47.3703;18.901
718908;Kisköre;Kisköre Vasútállomás;47.5;20.4833
3050661;Kapitányság;Kapitányság Vasúti Megállóhely;46.4333;19.9833
3044308;Szombathely-Szőlős;Szombathely-Szőlős Vasúti Megállóhely;47.2064;16.6419
3052232;Gödöllő;Gödöllő Vasútállomás;47.5833;19.3667
714338;Ürmös;Ürmöshát Vasúti Megállóhely;47.2667;21.1
3054634;Budapest-Nyugati;Budapest-Nyugati Pályaudvar;47.5105;19.0571
3046851;Ostffyasszonyfa;Ostffyasszonyfa Vasútállomás;47.2839;17.0243
3054921;Bodolyabér;Bodolyabér Vasúti Megállóhely;46.2;18.1333
720278;Hajdúszentgyörgy;Hajdúszentgyörgy Vasútállomás;47.6167;21.5833
3043098;Városlőd;Városlőd Vasúti Megállóhely;47.1444;17.6531
721221;Egervár;Egervár Vasúti Megállóhely;47.9;20.3833
3046128;Püspökmolnári;Püspökmolnári Vasútállomás;47.0852;16.7685
3053107;Farád;Farád Vasúti Megállóhely;47.5961;17.1962
715885;Sarkadkeresztúr;Sarkadkeresztúr Vasútállomás;46.8;21.4167
3046692;Pannonhalma;Pannonhalma Vasútállomás;47.55;17.75
720636;Gajdospuszta;Gajdospuszta Vasúti Megállóhely;46.35;20.4667
