vonalId;sorszam;geoid
145;12;3043753
145;13;3043901
145;14;3054755
145;15;3049884
146;1;3050427
146;2;3056013
146;3;3050021
146;4;3047306
146;5;3047312
146;6;3042887
146;7;3044457
146;8;3055843
146;9;718227
146;10;714699
146;11;714699
146;12;714719
146;13;721774
146;14;715373
146;15;719736
146;16;718310
147;1;3049884
147;2;3052365
147;3;719097
147;4;718596
147;5;721587
147;6;720052
147;7;715336
147;8;718213
147;9;718536
147;10;716253
147;11;721067
147;12;722947
147;13;714361
147;14;720642
147;15;719557
147;16;720356
147;17;716730
150;1;3054635
150;2;3054637
150;3;3049643
150;4;3046443
150;5;3045151
150;6;3053482
150;7;3044180
150;8;3053433
150;9;3053759
150;10;3049877
150;11;3053574
150;12;3049099
150;13;3045015
150;14;3052499
150;15;3045299
150;16;3054278
150;17;3044216
150;18;3049895
150;19;3053004
150;20;3045297
150;21;3046298
150;22;3049879
150;23;3055483
150;24;3049750
150;25;3043817
150;26;3050403
154;1;3055297
154;2;3056103
154;3;3046224
154;4;3055684
154;5;3055678
154;6;3048316
154;7;3055756
154;8;3047220
154;9;3056277
154;10;3055758
154;11;3045696
154;12;3048190
154;13;3050966
154;14;3043967
154;15;3053236
154;16;3049110
154;17;3049455
154;18;3049879
155;1;3049879
155;2;3051720
155;3;3044189
155;4;3046830
155;5;3050900
155;6;3051149
155;7;3052428
155;8;3049313
155;9;3051811
155;10;3049884
226L;1;3043294
226L;2;3043297
229o;1;3055562
229o;2;3042857
250;1;3043911
250;2;3052628
250;3;3055232
250;4;3054650
250;5;3046229
250;6;3044678
252;1;3044474
252;2;3043859
252;3;3044490
252;4;3053356
252;5;3044476
252;6;3046024
253;1;6690559
253;2;3047691
253;3;3045474
253;4;3054483
253;5;3050289
253;6;3047985
253a;1;3054483
253a;2;3045019
253a;3;3053966
304;1;3047339
304;2;3045658
304;3;3051660
304;4;3051222
418;1;718478
418;2;721984
418;3;714792
418;4;722618
419;1;718478
419;2;721984
419;3;719805
419;4;717343
419;5;714703
419;6;721308
504;1;3045179
504;2;3045189
504;3;8410866
508;1;3045179
508;2;3048606
635;1;3049514
635;2;3051490
665;1;722572
665;2;720725
688;1;719249
688;2;721149
690;1;715838
690;2;3054755
690;3;8410977
691;1;715838
691;2;3046714
720;1;722838
720;2;721403
730;1;717740
730;2;714338
790;1;715425
790;2;714418
790;3;715072
830;1;715919
830;2;716384
835;1;715425
835;2;714418
835;3;715072
835;4;3054003
9001;1;3055297
9001;2;3047964
